Col0,Col1,Col2,Col3,Col4,Col5,Col6
Dell,15.6,3,6,4,1,21978
Dell,15.6,3,7,4,1,29690
Dell,15.6,3,6,4,1,31222
Dell,15.6,3,6,4,1,28699
Dell,14,3,8,4,1,26990
Dell,14,3,8,4,1,28800
Dell,14,3,7,4,1,29999
Dell,15.6,3,7,4,1,35885
Dell,15.6,3,6,8,1,34870
Dell,15.6,3,7,4,1,30990
Dell,15.6,3,7,4,1,34485
Dell,15.6,3,6,4,1,37800
Dell,15.6,3,7,4,1,29557
Dell,15.6,3,6,4,1,29164
Dell,14,3,7,4,1,28990
Dell,14,3,7,4,1,25990
Dell,14,3,6,4,1,29720
Dell,14,3,6,4,0.5,29890
Dell,14,3,6,4,1,27990
Dell,14,3,7,4,1,26490
Dell,15.6,3,6,4,1,26499
Dell,14,3,7,4,1,26990
Dell,15.6,3,6,4,1,29485
Dell,15.6,3,6,4,1,30890
Dell,15.6,3,6,4,1,28399
Dell,15.6,3,6,4,1,26990
Dell,14,3,6,4,1,29990
Dell,15.6,3,7,4,1,32499
Dell,15.6,3,7,4,1,37000
Dell,15.6,3,6,4,1,29990
Dell,15.6,3,6,4,1,28990
Dell,15.6,3,6,4,1,29700
Dell,15.6,3,6,4,1,33990
Dell,14,3,6,4,0.5,47000
Dell,15.6,3,6,4,1,45490
Dell,15.6,3,6,4,1,26990
Dell,15.6,3,7,4,0.5,45000
Dell,15.6,3,6,8,2,45900
Dell,14,3,7,4,1,30990
Dell,15.6,3,7,4,1,30890
Dell,15.6,5,8,8,1,48990
Dell,14,5,8,8,1,39990
Dell,15.6,5,8,8,2,58779
Dell,15.6,5,7,4,1,48970
Dell,15.6,5,8,4,1,42499
Dell,14,5,7,4,1,49100
Dell,15.6,5,8,8,2,72499
Dell,15.6,5,8,8,1,44990
Dell,15.6,5,7,4,1,44963
Dell,15.6,5,7,4,1,39990
Dell,15.6,5,7,8,2,67990
Dell,14,5,8,8,1,43990
Dell,15.6,5,7,8,1,72190
Dell,15.6,5,8,8,2,50990
Dell,15.6,5,8,8,1,45975
Dell,15.6,5,8,8,1,47990
Dell,14,5,8,4,1,50999
Dell,15.6,5,8,4,1,42740
Dell,15.6,5,8,8,1,54900
Dell,15.6,5,7,8,1,59990
Dell,15.6,5,8,8,1,54900
Dell,15.6,5,8,8,2,61990
Dell,17.3,5,8,1,1,96900
Dell,15.6,5,7,8,1,47999
Dell,14,5,8,4,1,45990
Dell,15.6,5,8,4,1,47818
Dell,13,5,6,8,5,
Dell,15.6,5,7,8,2,64990
Dell,15.6,5,7,8,1,64990
Dell,14,5,8,4,1,47999
Dell,15.6,5,8,8,1,
Dell,15.6,5,8,8,1,48389
Dell,15.6,5,7,4,1,63990
Dell,15.6,5,7,4,1,
Dell,15.6,5,7,8,1,61990
Dell,15.6,5,7,8,1,53181
Dell,15.6,5,8,8,1,60990
Dell,15.6,5,7,8,1,46900
Dell,15.6,5,7,4,1,48990
Dell,15.6,5,8,8,1,
Dell,15.6,7,8,8,2,82990
Dell,15.6,7,8,1,2,70499
Dell,15.6,7,6,1,2,77100
Dell,15.6,7,8,8,2,64990
Dell,15.6,7,8,8,2,82499
Dell,15.6,7,7,1,2,72999
Dell,15.6,7,6,1,1,84000
Dell,15.6,7,8,8,2,67999
Dell,15.6,7,8,8,2,84990
Dell,15.6,7,8,8,2,89990
Dell,15.6,7,8,8,1,84892
Dell,15.6,7,6,8,1,94990
Dell,15.6,7,8,1,1,
Dell,15.6,7,7,8,1,
Dell,15.6,7,7,3,1,
Dell,15.6,7,6,8,1,84990
Dell,15.6,7,6,1,1,
Dell,17.3,7,6,1,1,
Dell,15.6,7,7,8,1,93990
Dell,15.6,7,8,8,1,78999
